year,five,ten,twenty
1960,1960-1964,1960-1969,1960-1979
1961,1960-1964,1960-1969,1960-1979
1962,1960-1964,1960-1969,1960-1979
1963,1960-1964,1960-1969,1960-1979
1964,1960-1964,1960-1969,1960-1979
1965,1965-1969,1960-1969,1960-1979
1966,1965-1969,1960-1969,1960-1979
1967,1965-1969,1960-1969,1960-1979
1968,1965-1969,1960-1969,1960-1979
1969,1965-1969,1960-1969,1960-1979
1970,1970-1974,1970-1979,1960-1979
1971,1970-1974,1970-1979,1960-1979
1972,1970-1974,1970-1979,1960-1979
1973,1970-1974,1970-1979,1960-1979
1974,1970-1974,1970-1979,1960-1979
1975,1975-1979,1970-1979,1960-1979
1976,1975-1979,1970-1979,1960-1979
1977,1975-1979,1970-1979,1960-1979
1978,1975-1979,1970-1979,1960-1979
1979,1975-1979,1970-1979,1960-1979
1980,1980-1984,1980-1989,1980-1999
1981,1980-1984,1980-1989,1980-1999
1982,1980-1984,1980-1989,1980-1999
1983,1980-1984,1980-1989,1980-1999
1984,1980-1984,1980-1989,1980-1999
1985,1985-1989,1980-1989,1980-1999
1986,1985-1989,1980-1989,1980-1999
1987,1985-1989,1980-1989,1980-1999
1988,1985-1989,1980-1989,1980-1999
1989,1985-1989,1980-1989,1980-1999
1990,1990-1994,1990-1999,1980-1999
1991,1990-1994,1990-1999,1980-1999
1992,1990-1994,1990-1999,1980-1999
1993,1990-1994,1990-1999,1980-1999
1994,1990-1994,1990-1999,1980-1999
1995,1995-1999,1990-1999,1980-1999
1996,1995-1999,1990-1999,1980-1999
1997,1995-1999,1990-1999,1980-1999
1998,1995-1999,1990-1999,1980-1999
1999,1995-1999,1990-1999,1980-1999
2000,2000-2004,2000-2009,2000-2019
2001,2000-2004,2000-2009,2000-2019
2002,2000-2004,2000-2009,2000-2019
2003,2000-2004,2000-2009,2000-2019
2004,2000-2004,2000-2009,2000-2019
2005,2005-2009,2000-2009,2000-2019
2006,2005-2009,2000-2009,2000-2019
2007,2005-2009,2000-2009,2000-2019
2008,2005-2009,2000-2009,2000-2019
2009,2005-2009,2000-2009,2000-2019
2010,2010-2014,2010-2019,2000-2019
2011,2010-2014,2010-2019,2000-2019
2012,2010-2014,2010-2019,2000-2019
2013,2010-2014,2010-2019,2000-2019
2014,2010-2014,2010-2019,2000-2019
2015,2015-2019,2010-2019,2000-2019
2016,2015-2019,2010-2019,2000-2019
2017,2015-2019,2010-2019,2000-2019
2018,2015-2019,2010-2019,2000-2019
2019,2015-2019,2010-2019,2000-2019
